Exch,Exchange Segment,Symbol,Token,Instrument Type,Instrument Name,Formatted Ins Name,Lot Size,Tick Size,Trading Symbol
BSE,bse_cm,AMBANIORGO,201064,E,AMBANI ORGOCHEM LIMITED,AMBANIORGO,1000,0.05,AMBANIORGO
BSE,bse_cm,E2E,201143,E,E2E NETWORKS LIMITED,E2E,1,0.10,E2E
BSE,bse_cm,CDSL,201232,E,CENTRAL DEPO SER (I) LTD,CDSL,1,0.10,CDSL
BSE,bse_cm,UCL,201277,E,USHANTI COLOUR CHEM LTD,UCL,2000,0.05,UCL
BSE,bse_cm,UNITEDPOLY,201305,E,UNITED POLYFAB GUJ. LTD.,UNITEDPOLY,1,0.01,UNITEDPOLY
BSE,bse_cm,TOUCHWOOD,201342,E,TOUCHWOOD ENTERTAIN LTD.,TOUCHWOOD,1,0.01,TOUCHWOOD
BSE,bse_cm,PULZ,201344,E,PULZ ELECTRONICS LIMITED,PULZ,2000,0.05,PULZ
BSE,bse_cm,DIL,201461,E,DEBOCK INDUSTRIES LIMITED,DIL,1,0.01,DIL
BSE,bse_cm,VARDHACRLC,201471,E,VARDHAMAN ACRYLICS LTD,VARDHACRLC,1,0.01,VARDHACRLC
BSE,bse_cm,KRISHANA,201480,E,KRISHANA PHOSCHEM LIMITED,KRISHANA,1,0.05,KRISHANA
BSE,bse_cm,ANTGRAPHIC,201552,E,ANTARCTICA LTD,ANTGRAPHIC,1,0.01,ANTGRAPHIC
BSE,bse_cm,PANSARI,201657,E,PANSARI DEVELOPERS LTD,PANSARI,1,0.05,PANSARI
BSE,bse_cm,UNIINFO,201673,E,UNIINFO TELECOM SERVI LTD,UNIINFO,1,0.01,UNIINFO
BSE,bse_cm,NBIFIN,201684,E,N.B.I. IND. FIN. CO. LTD,NBIFIN,1,0.10,NBIFIN
BSE,bse_cm,PAR,201686,E,PAR DRUGS AND CHEM LTD,PAR,1,0.01,PAR
BSE,bse_cm,PERFECT,201698,E,PERFECT INFRAENGINEER LTD,PERFECT,3000,0.05,PERFECT
BSE,bse_cm,ALCODIS,201707,E,ALCOKRAFT DISTILLERIE LTD,ALCODIS,625,0.05,ALCODIS
BSE,bse_cm,EIFFL,201720,E,EURO (I) FRESH FOODS LTD,EIFFL,1,0.01,EIFFL
BSE,bse_cm,SHUBHLAXMI,201806,E,SHUBHLAXMI JEWEL ART LTD,SHUBHLAXMI,1000,0.05,SHUBHLAXMI
BSE,bse_cm,BSE,201890,E,BSE LIMITED,BSE,1,0.10,BSE
BSE,bse_cm,AHLADA,202065,E,AHLADA ENGINEERS LIMITED,AHLADA,1,0.01,AHLADA
BSE,bse_cm,UNIVASTU,202099,E,UNIVASTU INDIA LIMITED,UNIVASTU,1,0.01,UNIVASTU
BSE,bse_cm,DRSDILIP,202144,E,DRS DILIP ROADLINES LTD.,DRSDILIP,800,0.05,DRSDILIP
BSE,bse_cm,KHFM,202216,E,KHFM HOS FAC MANA SER LTD,KHFM,1550,0.05,KHFM
BSE,bse_cm,DPSCLTD,202249,E,DPSC LIMITED,DPSCLTD,1,0.01,DPSCLTD
BSE,bse_cm,PROLIFE,202286,E,PROLIFE INDUSTRIES LTD,PROLIFE,500,0.05,PROLIFE
BSE,bse_cm,LAGNAM,202362,E,LAGNAM SPINTEX LIMITED,LAGNAM,1,0.01,LAGNAM
BSE,bse_cm,UNITEDTEA,202383,E,UNITED NILGIRI TEA LTD,UNITEDTEA,1,0.05,UNITEDTEA
BSE,bse_cm,AARVI,202402,E,AARVI ENCON LIMITED,AARVI,1,0.01,AARVI
BSE,bse_cm,LAXMICOT,202410,E,LAXMI COTSPIN LIMITED,LAXMICOT,1,0.01,LAXMICOT
BSE,bse_cm,TRANSWIND,202490,E,TRANSWIND INFRA LIMITED,TRANSWIND,4000,0.05,TRANSWIND
BSE,bse_cm,SUMIT,202533,E,SUMIT WOODS LIMITED,SUMIT,1,0.01,SUMIT
BSE,bse_cm,VERA,202708,E,VERA SYNTHETIC LIMITED,VERA,1500,0.05,VERA
BSE,bse_cm,SVLL,202807,E,SHREE VASU LOGISTICS LTD,SVLL,1,0.05,SVLL
BSE,bse_cm,AKG,202866,E,AKG EXIM LIMITED,AKG,1,0.01,AKG
BSE,bse_cm,AKASH,202949,E,AKASH INFRA-PROJECTS LTD,AKASH,1,0.01,AKASH
BSE,bse_cm,AGROPHOS,202972,E,AGRO PHOS INDIA LIMITED,AGROPHOS,1,0.01,AGROPHOS
BSE,bse_cm,HECPROJECT,202985,E,HEC INFRA PROJECTS LTD,HECPROJECT,1,0.01,HECPROJECT
BSE,bse_cm,VASA,203016,E,VASA RETAIL & OVERSEA LTD,VASA,4000,0.05,VASA
BSE,bse_cm,MDL,203071,E,MARVEL DECOR LIMITED,MDL,1000,0.05,MDL
BSE,bse_cm,BANKA,203099,E,BANKA BIOLOO LIMITED,BANKA,1,0.01,BANKA
BSE,bse_cm,SOLEX,203111,E,SOLEX ENERGY LIMITED,SOLEX,1,0.10,SOLEX
BSE,bse_cm,MACPOWER,203119,E,MACPOWER CNC MACHINES LTD,MACPOWER,1,0.05,MACPOWER
BSE,bse_cm,EMKAYTOOLS,203139,E,EMKAY TAP & CUT. TOOL LTD,EMKAYTOOLS,150,0.05,EMKAYTOOLS
BSE,bse_cm,OMFURN,203162,E,OMFURN INDIA LIMITED,OMFURN,1200,0.05,OMFURN
BSE,bse_cm,MANAV,203203,E,MANAV INFRA PROJECTS LTD,MANAV,4000,0.05,MANAV
BSE,bse_cm,MMP,203210,E,MMP INDUSTRIES LIMITED,MMP,1,0.05,MMP
BSE,bse_cm,AARON,203282,E,AARON INDUSTRIES LIMITED,AARON,1,0.01,AARON
BSE,bse_cm,GKWLIMITED,203307,E,GKW LIMITED,GKWLIMITED,1,0.10,GKWLIMITED
BSE,bse_cm,KOTHARIPET,203356,E,KOTHARI PETROCHEM LTD,KOTHARIPET,1,0.01,KOTHARIPET
BSE,bse_cm,SPCENET,203377,E,SPACENET ENTERS IND LTD,SPCENET,1,0.01,SPCENET
BSE,bse_cm,CONTI,203459,E,CONTINENTAL SEED CHEM LTD,CONTI,3333,0.05,CONTI
BSE,bse_cm,AIROLAM,203532,E,AIRO LAM LIMITED,AIROLAM,1,0.01,AIROLAM
BSE,bse_cm,CONSOFINVT,203559,E,CONSO. FIN. & HOLD. LTD.,CONSOFINVT,1,0.01,CONSOFINVT
BSE,bse_cm,MBAPL,203569,E,MADHYA BHARAT AGRO P. LTD,MBAPL,1,0.05,MBAPL
BSE,bse_cm,TOTAL,203634,E,TOTAL TRANSPORT SYS LTD,TOTAL,1,0.01,TOTAL
BSE,bse_cm,JAIPURKURT,203667,E,NANDANI CREATION LIMITED,JAIPURKURT,1,0.01,JAIPURKURT
BSE,bse_cm,SANCO,203706,E,SANCO INDUSTRIES LIMITED,SANCO,1,0.01,SANCO
BSE,bse_cm,BETA,203739,E,BETA DRUGS LIMITED,BETA,1,0.10,BETA
BSE,bse_cm,TIRUPATI,203793,E,SHREE TIRUPATI BALAJEE,TIRUPATI,125,0.05,TIRUPATI
BSE,bse_cm,NITIRAJ,203799,E,NITIRAJ ENGINEERS LTD,NITIRAJ,1,0.01,NITIRAJ
BSE,bse_cm,ZOTA,203811,E,ZOTA HEALTH CARE LIMITED,ZOTA,1,0.10,ZOTA
BSE,bse_cm,KOTARISUG,203887,E,KOTHARI SUG & CHEM LTD.,KOTARISUG,1,0.01,KOTARISUG
BSE,bse_cm,PRITI,204000,E,PRITI INTERNATIONAL LTD,PRITI,1,0.01,PRITI
BSE,bse_cm,GRETEX,204026,E,GRETEX INDUSTRIES LTD.,GRETEX,750,0.05,GRETEX
BSE,bse_cm,SAGARDEEP,204170,E,SAGARDEEP ALLOYS LIMITED,SAGARDEEP,1,0.01,SAGARDEEP
BSE,bse_cm,GIRIRAJ,204207,E,GIRIRAJ CIVIL DEVP LTD,GIRIRAJ,250,0.05,GIRIRAJ
BSE,bse_cm,JOCIL,204263,E,JOCIL LIMITED,JOCIL,1,0.01,JOCIL
BSE,bse_cm,NDGL,204326,E,NAGA DHUNSERI GROUP LTD,NDGL,1,0.10,NDGL
BSE,bse_cm,SHAIVAL,204337,E,SHAIVAL REALITY LIMITED,SHAIVAL,3600,0.05,SHAIVAL
BSE,bse_cm,GROBTEA,204347,E,THE GROB TEA COMPANY LTD,GROBTEA,1,0.10,GROBTEA
BSE,bse_cm,STEELCITY,204419,E,STEEL CITY SECURITIES LTD,STEELCITY,1,0.01,STEELCITY
BSE,bse_cm,GTECJAINX,204471,E,G-TEC JAINX EDUCATION LTD,GTECJAINX,1,0.01,GTECJAINX
BSE,bse_cm,KALYANI$,204505,E,KALYANI COMMERCIALS LTD,KALYANI$,1,0.01,KALYANI$
BSE,bse_cm,MITCON,204669,E,MITCON CON & ENG SER LTD,MITCON,1,0.01,MITCON
BSE,bse_cm,GICL,204730,E,GLOBE INTL CARRIERS LTD,GICL,3000,0.05,GICL
BSE,bse_cm,ASPINWALL,204739,E,ASPINWALL & CO LTD,ASPINWALL,1,0.01,ASPINWALL
BSE,bse_cm,PKTEA,204759,E,THE P K TEA PROD CO LTD,PKTEA,1,0.05,PKTEA
BSE,bse_cm,THEJO,204968,E,THEJO ENGINEERING LIMITED,THEJO,1,0.10,THEJO
BSE,bse_cm,LFIC,204994,E,LAKSHMI FIN IND CORP LTD,LFIC,1,0.01,LFIC
BSE,bse_cm,WIPL,205116,E,THE WESTERN INDIA PLY LTD,WIPL,1,0.01,WIPL
BSE,bse_cm,SILLYMONKS,205181,E,SILLY MONKS ENTERTAIN LTD,SILLYMONKS,1,0.01,SILLYMONKS
BSE,bse_cm,SANGINITA,205222,E,SANGINITA CHEMICALS LTD,SANGINITA,1,0.01,SANGINITA
BSE,bse_cm,AVSL,205279,E,AVSL INDUSTRIES LIMITED,AVSL,1000,0.05,AVSL
BSE,bse_cm,PARIN,205337,E,PARIN ENTERPRISES LIMITED,PARIN,250,0.05,PARIN
BSE,bse_cm,ACEINTEG,205354,E,ACE INTEGRATED SOLU. LTD.,ACEINTEG,1,0.01,ACEINTEG
BSE,bse_cm,MAHESHWARI,205355,E,MAHESHWARI LOGISTICS LTD.,MAHESHWARI,1,0.01,MAHESHWARI
BSE,bse_cm,ARVEE,205428,E,ARVEE LABORATORIES I LTD,ARVEE,1,0.01,ARVEE
BSE,bse_cm,LIBAS,205469,E,LIBAS CONSU PRODUCTS LTD,LIBAS,1,0.01,LIBAS
BSE,bse_cm,MHHL,205578,E,MOHINI HEALTH&HYGIENE LTD,MHHL,1500,0.05,MHHL
BSE,bse_cm,REPL,205597,E,RUDRABHISHEK ENTERP LTD,REPL,1,0.01,REPL
BSE,bse_cm,KKVAPOW,205638,E,KKV AGRO POWERS LTD.,KKVAPOW,171,0.05,KKVAPOW
BSE,bse_cm,MINDPOOL,205653,E,MINDPOOL TECHNOLOGIES LTD,MINDPOOL,1000,0.05,MINDPOOL
BSE,bse_cm,SIKKO,205751,E,SIKKO INDUSTRIES LIMITED,SIKKO,1,0.01,SIKKO
BSE,bse_cm,JAKHARIA,205786,E,JAKHARIA FABRIC LIMITED,JAKHARIA,2400,0.05,JAKHARIA
BSE,bse_cm,SILGO,205873,E,SILGO RETAIL LIMITED,SILGO,1,0.01,SILGO
BSE,bse_cm,APOLSINHOT,205935,E,APOLLO SINDOORI HOTEL LTD,APOLSINHOT,1,0.10,APOLSINHOT
BSE,bse_cm,PRECOT,205936,E,PRECOT LIMITED,PRECOT,1,0.05,PRECOT
BSE,bse_cm,ARTNIRMAN,205945,E,ART NIRMAN LIMITED,ARTNIRMAN,1,0.01,ARTNIRMAN
BSE,bse_cm,NRVANDANA,206022,E,N R VANDANA TEX IND LTD,NRVANDANA,3000,0.05,NRVANDANA
BSE,bse_cm,FELIX,206059,E,FELIX INDUSTRIES LTD.,FELIX,500,0.05,FELIX
BSE,bse_cm,CADSYS,206071,E,CADSYS (INDIA) LIMITED,CADSYS,500,0.05,CADSYS
BSE,bse_cm,MASKINVEST,206083,E,MASK INVESTMENTS LIMITED,MASKINVEST,1,0.01,MASKINVEST
BSE,bse_cm,PANACHE,206119,E,PANACHE DIGILIFE LIMITED,PANACHE,1,0.05,PANACHE
BSE,bse_cm,SHANTI,206158,E,SHANTI OVERSEAS INDIA LTD,SHANTI,1,0.01,SHANTI
BSE,bse_cm,ACCORD,206183,E,ACCORD SYNERGY LIMITED,ACCORD,2000,0.05,ACCORD
BSE,bse_cm,LEXUS,206238,E,LEXUS GRANITO (INDIA) LTD,LEXUS,1,0.01,LEXUS
BSE,bse_cm,AHIMSA,206241,E,AHIMSA INDUSTRIES LTD.,AHIMSA,3000,0.05,AHIMSA
BSE,bse_cm,SHIVAUM,206521,E,SHIV AUM STEELS LIMITED,SHIVAUM,1,0.05,SHIVAUM
BSE,bse_cm,GOLDKART,206531,E,GOLDKART JEWELS LIMITED,GOLDKART,625,0.05,GOLDKART
BSE,bse_cm,ASCOM,206558,E,ASCOM LEASIN & INVEST LTD,ASCOM,500,0.05,ASCOM
BSE,bse_cm,LGHL,206778,E,LAXMI GOLDORNA HOUSE LTD,LGHL,1,0.05,LGHL
BSE,bse_cm,SHRENIK,207416,E,SHRENIK LIMITED,SHRENIK,1,0.01,SHRENIK
BSE,bse_cm,MARINE,207697,E,MARINE ELECTRICAL (I) LTD,MARINE,1,0.01,MARINE
BSE,bse_cm,PARTYCRUS,207734,E,PARTY CRUISERS LIMITED,PARTYCRUS,1000,0.05,PARTYCRUS
BSE,bse_cm,SIDDHIKA,207819,E,SIDDHIKA COATINGS LIMITED,SIDDHIKA,1000,0.05,SIDDHIKA
BSE,bse_cm,VMARCIND,207825,E,V MARC INDIA LIMITED,VMARCIND,250,0.05,VMARCIND
BSE,bse_cm,AILIMITED,208056,E,ABHISHEK INTEGRATIONS LTD,AILIMITED,1500,0.05,AILIMITED
BSE,bse_cm,WALPAR,208105,E,WALPAR NUTRITIONS LIMITED,WALPAR,2000,0.05,WALPAR
BSE,bse_cm,MOKSH,208106,E,MOKSH ORNAMENTS LIMITED,MOKSH,1,0.01,MOKSH
BSE,bse_cm,GLOBE,208134,E,GLOBE ENTERPRISE (I) LTD,GLOBE,1,0.01,GLOBE
BSE,bse_cm,REXPIPES,208145,E,REX PIPES AND CABLES LTD,REXPIPES,1000,0.05,REXPIPES
BSE,bse_cm,ABMINTLLTD,208186,E,ABM INTERNATIONAL LTD,ABMINTLLTD,1,0.01,ABMINTLLTD
BSE,bse_cm,GANGAFORGE,208199,E,GANGA FORGING LIMITED,GANGAFORGE,1,0.01,GANGAFORGE
BSE,bse_cm,BEWLTD,208204,E,BEW ENGINEERING LIMITED,BEWLTD,500,0.05,BEWLTD
BSE,bse_cm,QUADPRO,208232,E,QUADPRO ITES LIMITED,QUADPRO,12000,0.05,QUADPRO
BSE,bse_cm,JAINAM,208299,E,JAINAM FER ALLOYS (I) LTD,JAINAM,500,0.05,JAINAM
BSE,bse_cm,TIRUPATIFL,208300,E,TIRUPATI FORGE LIMITED,TIRUPATIFL,1,0.01,TIRUPATIFL
BSE,bse_cm,BMETRICS,208301,E,BOMBAY METRICS S C LTD,BMETRICS,800,0.05,BMETRICS
BSE,bse_cm,DYNAMIC,208302,E,DYNAMIC SRVCS & SEC LTD,DYNAMIC,500,0.05,DYNAMIC
BSE,bse_cm,DESTINY,208303,E,DESTINY LOGISTICS & I LTD,DESTINY,1500,0.05,DESTINY
BSE,bse_cm,DKEGL,208318,E,D K ENTERPRISES GLOBAL L,DKEGL,1500,0.05,DKEGL
BSE,bse_cm,KOTYARK,208339,E,KOTYARK INDUSTRIES LTD,KOTYARK,100,0.05,KOTYARK
BSE,bse_cm,NIDAN,208362,E,NIDAN LABS AND HEALTH LTD,NIDAN,1000,0.05,NIDAN
BSE,bse_cm,NRL,208409,E,NUPUR RECYCLERS LIMITED,NRL,1,0.01,NRL
BSE,bse_cm,FOCE,208419,E,FOCE INDIA LIMITED,FOCE,100,0.05,FOCE
BSE,bse_cm,VIVO,208433,E,VIVO COLLAB SOLUTIONS LTD,VIVO,1600,0.05,VIVO
BSE,bse_cm,TIMESCAN,208475,E,TIMESCAN LOGISTICS IND L,TIMESCAN,2000,0.05,TIMESCAN
BSE,bse_cm,ONEPOINT,208502,E,ONE POINT ONE SOL LTD,ONEPOINT,1,0.01,ONEPOINT
BSE,bse_cm,PRECISION,208528,E,PRECISION METALIKS LTD,PRECISION,2000,0.05,PRECISION
BSE,bse_cm,AAKASH,208537,E,AAKASH EXPLORATION SER L,AAKASH,1,0.01,AAKASH
BSE,bse_cm,RICHA,208561,E,RICHA INFO SYSTEMS LTD,RICHA,1000,0.05,RICHA
BSE,bse_cm,MADHAVBAUG,208578,E,VAIDYA SANE AYUR LAB LTD,MADHAVBAUG,400,0.05,MADHAVBAUG
BSE,bse_cm,SUPREMEENG,208600,E,SUPREME ENGINEERING LTD,SUPREMEENG,1,0.01,SUPREMEENG
BSE,bse_cm,SHIGAN,208611,E,SHIGAN QUANTUM TECH LTD,SHIGAN,1500,0.05,SHIGAN
BSE,bse_cm,SPRL,208626,E,SP REFRACTORIES LIMITED,SPRL,800,0.05,SPRL
BSE,bse_cm,COOLCAPS,208628,E,COOL CAPS INDUSTRIES LTD,COOLCAPS,1250,0.05,COOLCAPS
BSE,bse_cm,AURIGROW,208643,E,AURI GROW INDIA LIMITED,AURIGROW,1,0.01,AURIGROW
BSE,bse_cm,SWARAJ,208661,E,SWARAJ SUITING LIMITED,SWARAJ,500,0.05,SWARAJ
BSE,bse_cm,KNAGRI,208662,E,KN AGRI RESOURCES LIMITED,KNAGRI,1,0.05,KNAGRI
BSE,bse_cm,PROPEQUITY,208730,E,P. E. ANALYTICS LIMITED,PROPEQUITY,600,0.05,PROPEQUITY
BSE,bse_cm,KRISHNADEF,208731,E,KRISHNA DEF AND ALD IND L,KRISHNADEF,250,0.05,KRISHNADEF
BSE,bse_cm,LEMERITE,208757,E,LE MERITE EXPORTS LIMITED,LEMERITE,1,0.05,LEMERITE
BSE,bse_cm,SONUINFRA,208763,E,SONU INFRATECH LIMITED,SONUINFRA,1500,0.05,SONUINFRA
BSE,bse_cm,RILINFRA,208791,E,RACHANA INFRA LTD,RILINFRA,100,0.05,RILINFRA
BSE,bse_cm,FIDEL,208792,E,FIDEL SOFTECH LIMITED,FIDEL,1000,0.05,FIDEL
BSE,bse_cm,DUGLOBAL,208924,E,DUDIGITAL GLOBAL LIMITED,DUGLOBAL,2500,0.05,DUGLOBAL
BSE,bse_cm,MWL,208936,E,MANGALAM WORLDWIDE LTD,MWL,1,0.01,MWL
BSE,bse_cm,SKP$,208938,E,SKP BEARING INDUSTRI. LTD,SKP$,500,0.05,SKP$
BSE,bse_cm,AGNI,208980,E,AGNI GREEN POWER LTD,AGNI,2500,0.05,AGNI
BSE,bse_cm,USASEEDS,209006,E,UPSURGE SEEDS OF AGRI LTD,USASEEDS,428,0.05,USASEEDS
BSE,bse_cm,VEEKAYEM,209046,E,VEEKAYEM FASH & APP LTD,VEEKAYEM,500,0.05,VEEKAYEM
BSE,bse_cm,KRITIKA,209061,E,KRITIKA WIRES LIMITED,KRITIKA,1,0.01,KRITIKA
BSE,bse_cm,DANGEE,209079,E,DANGEE DUMS LIMITED,DANGEE,1,0.01,DANGEE
BSE,bse_cm,KORE,209084,E,JAY JALARAM TECHNO LTD,KORE,250,0.05,KORE
BSE,bse_cm,AMEYA,209085,E,AMEYA PRECISION ENG LTD,AMEYA,1000,0.05,AMEYA
BSE,bse_cm,JFLLIFE,209086,E,JFL LIFE SCIENCES LIMITED,JFLLIFE,6000,0.05,JFLLIFE
BSE,bse_cm,VIVIANA,209109,E,VIVIANA POWER TECH LTD,VIVIANA,200,0.05,VIVIANA
BSE,bse_cm,MEGAFLEX,209110,E,MEGA FLEX PLASTICS LTD,MEGAFLEX,3000,0.05,MEGAFLEX
BSE,bse_cm,SABAR,209113,E,SABAR FLEX INDIA LIMITED,SABAR,5000,0.05,SABAR
BSE,bse_cm,TAPIFRUIT,209115,E,TAPI FRUIT PROCESSING LTD,TAPIFRUIT,750,0.05,TAPIFRUIT
BSE,bse_cm,BSHSL,209123,E,BOMBAY SUPER HYBRID SEEDS,BSHSL,1,0.01,BSHSL
BSE,bse_cm,ANNAPURNA,209126,E,ANNAPURNA SWADISHT LTD,ANNAPURNA,250,0.05,ANNAPURNA
BSE,bse_cm,MAKS,209129,E,MAKS ENERGY SOL INDIA LTD,MAKS,1500,0.05,MAKS
BSE,bse_cm,KANDARP,209130,E,KANDARP DG SMART BPO LTD,KANDARP,1000,0.05,KANDARP
BSE,bse_cm,AJOONI,209169,E,AJOONI BIOTECH LIMITED,AJOONI,1,0.01,AJOONI
BSE,bse_cm,CMRSL,209170,E,CYBER MEDIA RES & SER LTD,CMRSL,800,0.05,CMRSL
BSE,bse_cm,LLOYDS,209171,E,LLOYDS LUXURIES LIMITED,LLOYDS,1000,0.05,LLOYDS
BSE,bse_cm,QMSMEDI,209172,E,QMS MEDICAL ALLIED S LTD,QMSMEDI,1000,0.05,QMSMEDI
BSE,bse_cm,SWASTIK,209173,E,SWASTIK PIPE LIMITED,SWASTIK,1200,0.05,SWASTIK
BSE,bse_cm,PHANTOMFX,209190,E,PHANTOM DIGITAL EFF LTD,PHANTOMFX,300,0.05,PHANTOMFX
BSE,bse_cm,KSHITIJPOL,209192,E,KSHITIJ POLYLINE LIMITED,KSHITIJPOL,1,0.01,KSHITIJPOL
BSE,bse_cm,BOHRAIND,209193,E,BOHRA INDUSTRIES LIMITED,BOHRAIND,1,0.01,BOHRAIND
BSE,bse_cm,IPSL,209236,E,INTEGRATED PERSO SER LTD,IPSL,500,0.05,IPSL
BSE,bse_cm,RITEZONE,209237,E,RITE ZONE CHEMCON IND LTD,RITEZONE,1600,0.05,RITEZONE
BSE,bse_cm,VITAL,209238,E,VITAL CHEMTECH LIMITED,VITAL,1200,0.05,VITAL
BSE,bse_cm,AMIABLE,209239,E,AMIABLE LOGISTICS (I) LTD,AMIABLE,1600,0.05,AMIABLE
BSE,bse_cm,RAJMET,209275,E,RAJNANDINI METAL LIMITED,RAJMET,1,0.01,RAJMET
BSE,bse_cm,BAHETI,209291,E,BAHETI RECYCLING IND LTD,BAHETI,375,0.05,BAHETI
BSE,bse_cm,ARHAM,209299,E,ARHAM TECHNOLOGIES LTD,ARHAM,1000,0.05,ARHAM
BSE,bse_cm,ALLETEC,209328,E,ALL E TECHNOLOGIES LTD,ALLETEC,400,0.05,ALLETEC
BSE,bse_cm,DOLLEX,209344,E,DOLLEX AGROTECH LIMITED,DOLLEX,4000,0.05,DOLLEX
BSE,bse_cm,UMA,209345,E,UMA CONVERTER LIMITED,UMA,4000,0.05,UMA
BSE,bse_cm,ARIHANTACA,209347,E,ARIHANT ACADEMY LIMITED,ARIHANTACA,400,0.05,ARIHANTACA
BSE,bse_cm,MOXSH,209353,E,MOXSH OVERSEAS EDUCON LTD,MOXSH,3200,0.05,MOXSH
BSE,bse_cm,HOMESFY,209367,E,HOMESFY REALTY LIMITED,HOMESFY,300,0.05,HOMESFY
BSE,bse_cm,RBMINFRA,209368,E,RBM INFRACON LIMITED,RBMINFRA,200,0.05,RBMINFRA
BSE,bse_cm,ANLON,209379,E,ANLON TECHNOLOGY SOL LTD,ANLON,400,0.05,ANLON
BSE,bse_cm,CMNL,209390,E,CHAMAN METALLICS LIMITED,CMNL,750,0.05,CMNL
BSE,bse_cm,DUCOL,209397,E,DUCOL ORGS AND COLOURS LT,DUCOL,800,0.05,DUCOL
BSE,bse_cm,GOLDSTAR,209403,E,GOLDSTAR POWER LIMITED,GOLDSTAR,11250,0.05,GOLDSTAR
BSE,bse_cm,GVPTECH,209405,E,GVP INFOTECH LIMITED,GVPTECH,1,0.01,GVPTECH
BSE,bse_cm,ARISTO,209425,E,ARISTO BIO T AND LIFESC L,ARISTO,800,0.05,ARISTO
BSE,bse_cm,GRCL,209456,E,GAYATRI RUBB AND CHEM LTD,GRCL,250,0.05,GRCL
BSE,bse_cm,VCL,209472,E,VAXTEX COTFAB LIMITED,VCL,1,0.01,VCL
BSE,bse_cm,SHERA,209484,E,SHERA ENERGY LIMITED,SHERA,1000,0.05,SHERA
BSE,bse_cm,LRRPL,209492,E,LEAD REC AND RUB PROD LTD,LRRPL,1500,0.05,LRRPL
BSE,bse_cm,AGARWALFT,209495,E,AGARWAL FLOAT GLASS I LTD,AGARWALFT,1500,0.05,AGARWALFT
BSE,bse_cm,VIAZ,209508,E,VIAZ TYRES LIMITED,VIAZ,2000,0.05,VIAZ
BSE,bse_cm,SRIVASAVI,209532,E,SRIVASAVI ADHESIVE TAPE L,SRIVASAVI,1000,0.05,SRIVASAVI
BSE,bse_cm,OSIAHYPER,209547,E,OSIA HYPER RETAIL LIMITED,OSIAHYPER,1,0.01,OSIAHYPER
